Vernier Format 2
Dostalova_Havlikova.txt 4/15/2018 10:23:57
Měření 1
Čas	CO2	
Č	C	
min	ppm	

0	946	
1	968	
2	962	
3	968	
4	981	
5	981	
6	993	
7	984	
8	990	
9	984	
10	974	
11	971	
12	974	
13	974	
14	959	
15	953	
16	934	
17	915	
18	915	
19	900	
20	896	
21	862	
22	850	
23	831	
24	825	
25	800	
26	791	
27	763	
28	756	
29	744	
30	716	
31	688	
32	672	
33	650	
34	632	
35	622	
36	591	
37	560	
38	538	
39	535	
40	523	
41	495	
42	479	
43	451	
44	435	
45	407	
46	392	
47	383	
48	348	
49	348	
50	327	
51	348	
52	323	
53	314	
54	305	
55	302	
56	289	
57	273	
58	273	
59	261	
60	261	
61	258	
62	255	
63	236	
64	264	
65	242	
66	242	
67	249	
68	255	
69	242	
70	252	
71	239	
72	242	
73	252	
74	252	
75	258	
76	249	
77	261	
78	273	
79	277	
80	267	
81	273	
82	267	
83	280	
84	273	
85	289	
86	273	
87	273	
88	273	
89	277	
90	267	
91	283	
92	289	
93	273	
94	283	
95	277	
96	283	
97	286	
98	273	
99	261	
100	264	
101	264	
102	261	
103	258	
104	261	
105	255	
106	249	
107	255	
108	242	
109	252	
110	242	
111	255	
112	258	
113	258	
114	261	
115	242	
116	242	
117	239	
118	227	
119	242	
120	249	
121	252	
122	252	
123	249	
124	249	
125	258	
126	249	
127	242	
128	236	
129	242	
130	233	
131	242	
132	236	
133	242	
134	233	
135	227	
136	220	
137	227	
138	239	
139	227	
140	230	
141	233	
142	220	
143	224	
144	236	
145	242	
146	239	
147	242	
148	249	
149	255	
150	249	
151	242	
152	255	
153	255	
154	261	
155	267	
156	280	
157	283	
158	298	
159	308	
160	308	
161	327	
162	348	
163	348	
164	367	
165	376	
166	361	
167	376	
168	348	
169	342	
170	327	
171	311	
172	302	
173	298	
174	267	
175	267	
176	261	
177	258	
178	264	
179	264	
180	258	
