Vernier Format 2
Idinova_Placha_Listikova.txt 7/14/2017 11:53:43
Měření 1
Čas	CO2	
Č	C	
min	ppm	

0	1183	
1	1186	
2	1192	
3	1192	
4	1186	
5	1183	
6	1186	
7	1195	
8	1186	
9	1186	
10	1186	
11	1164	
12	1158	
13	1158	
14	1142	
15	1117	
16	1111	
17	1114	
18	1083	
19	1077	
20	1068	
21	1049	
22	1039	
23	1018	
24	1008	
25	968	
26	961	
27	943	
28	915	
29	908	
30	868	
31	849	
32	824	
33	805	
34	780	
35	768	
36	746	
37	721	
38	709	
39	690	
40	678	
41	662	
42	653	
43	640	
44	612	
45	590	
46	575	
47	575	
48	550	
49	553	
50	550	
51	540	
52	534	
53	528	
54	528	
55	519	
56	500	
57	503	
58	491	
59	484	
60	481	
61	478	
62	484	
63	484	
64	484	
65	484	
66	481	
67	494	
68	494	
69	494	
70	491	
71	487	
72	500	
73	497	
74	494	
75	500	
76	503	
77	509	
78	500	
79	503	
80	509	
81	497	
82	509	
83	506	
84	506	
85	509	
86	512	
87	500	
88	500	
89	515	
90	509	
91	506	
92	528	
93	528	
94	522	
95	515	
96	519	
97	528	
98	515	
99	512	
100	509	
101	497	
102	494	
103	494	
104	497	
105	484	
106	481	
107	478	
108	469	
109	481	
110	478	
111	484	
112	484	
113	491	
114	484	
115	484	
116	491	
117	478	
118	487	
119	481	
120	487	
121	500	
122	481	
123	475	
124	478	
125	481	
126	472	
127	466	
128	469	
129	472	
130	472	
131	472	
132	472	
133	462	
134	462	
135	459	
136	453	
137	462	
138	456	
139	453	
140	456	
141	459	
142	450	
143	453	
144	459	
145	466	
146	469	
147	469	
148	478	
149	481	
150	478	
151	478	
152	481	
153	481	
154	500	
155	494	
156	509	
157	512	
158	515	
159	537	
160	540	
161	528	
162	565	
163	556	
164	562	
165	562	
166	562	
167	562	
168	550	
169	540	
170	525	
171	515	
172	515	
173	500	
174	487	
175	487	
176	487	
177	481	
178	491	
179	497	
180	494	
