Vernier Format 2
Slama_Jedlicka.txt 4/15/2018 10:21:21
Měření 1
Čas	CO2	
Č	C	
min	ppm	

0	923	
1	917	
2	908	
3	889	
4	883	
5	858	
6	842	
7	799	
8	783	
9	771	
10	752	
11	724	
12	699	
13	681	
14	671	
15	640	
16	631	
17	612	
18	612	
19	600	
20	575	
21	566	
22	541	
23	516	
24	506	
25	488	
26	463	
27	460	
28	441	
29	422	
30	404	
31	394	
32	385	
33	370	
34	376	
35	363	
36	351	
37	351	
38	342	
39	348	
40	335	
41	332	
42	326	
43	326	
44	326	
45	326	
46	314	
47	317	
48	317	
49	314	
50	314	
51	323	
52	317	
53	317	
54	317	
55	310	
56	304	
57	314	
58	314	
59	317	
60	314	
61	314	
62	310	
63	314	
64	314	
65	310	
66	314	
67	307	
68	317	
69	314	
70	320	
71	314	
72	317	
73	314	
74	320	
75	317	
76	314	
77	326	
78	323	
79	317	
80	317	
81	314	
82	314	
83	317	
84	314	
85	314	
86	320	
87	323	
88	317	
89	314	
90	323	
91	314	
92	320	
93	326	
94	332	
95	323	
96	332	
97	329	
98	326	
99	314	
100	323	
101	320	
102	307	
103	310	
104	307	
105	314	
106	307	
107	314	
108	310	
109	310	
110	314	
111	307	
112	310	
113	307	
114	307	
115	314	
116	314	
117	314	
118	314	
119	304	
120	301	
121	307	
122	301	
123	301	
124	298	
125	307	
126	307	
127	301	
128	298	
129	301	
130	295	
131	298	
132	292	
133	301	
134	292	
135	307	
136	298	
137	298	
138	298	
139	298	
140	298	
141	295	
142	298	
143	298	
144	307	
145	310	
146	314	
147	314	
148	314	
149	310	
150	323	
151	320	
152	332	
153	332	
154	348	
155	363	
156	376	
157	385	
158	397	
159	410	
160	419	
161	444	
162	438	
163	450	
164	447	
165	444	
166	416	
167	391	
168	382	
169	370	
170	348	
171	332	
172	326	
173	320	
174	320	
175	323	
176	323	
177	326	
178	326	
179	342	
180	329	
