Vernier Format 2
Melichna_Heller.txt 4/15/2018 10:19:59
Měření 1
Čas	CO2	
Č	C	
min	ppm	

0	1181	
1	1184	
2	1193	
3	1200	
4	1203	
5	1206	
6	1209	
7	1209	
8	1200	
9	1203	
10	1193	
11	1193	
12	1181	
13	1184	
14	1178	
15	1163	
16	1159	
17	1156	
18	1141	
19	1131
20	1116
21	1110
22	1100
23	1085
24	1066
25	1048
26	1035
27	1007
28	976
29	955
30	924
31	896
32	874
33	855
34	837
35	815
36	796
37	768
38	747
39	719
40	706
41	682
42	660
43	641
44	626
45	604
46	592
47	579
48	558
49	536
50	527
51	511
52	492
53	480
54	461
55	452
56	440
57	434
58	427
59	424
60	415
61	406
62	396
63	393
64	387
65	390
66	396
67	390
68	387
69	384
70	384
71	381
72	381
73	384
74	390
75	402
76	393
77	387
78	384
79	381
80	381
81	378
82	378
83	381
84	381
85	384
86	384
87	381
88	378
89	375
90	381
91	384
92	393
93	399
94	399
95	406
96	406
97	402
98	406
99	399
100	387
101	384
102	375
103	375
104	362
105	362
106	356
107	356
108	350
109	362
110	362
111	365
112	365
113	368
114	372
115	365
116	362
117	359
118	359
119	359
120	350
121	356
122	356
123	359
124	350
125	350
126	344
127	344
128	340
129	340
130	334
131	340
132	328
133	331
134	331
135	325
136	331
137	337
138	340
139	340
140	344
141	340
142	340
143	347
144	344
145	347
146	356
147	365
148	372
149	378
150	384
151	387
152	390
153	412
154	415
155	430
156	446
157	465
158	499
159	520
160	545
161	558
162	573
163	582
164	598
165	582
166	567
167	545
168	527
169	496
170	465
171	443
172	418
173	409
174	393
175	390
176	384
177	387
178	387
179	393
180	396
181	399
182	415
183	418
184	415
185	412
186	399
187	396
188	375
189	365
190	359
191	347
192	340
193	325
