Vernier Format 2
stanice1.txt 5/13/2018 7:26:17
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

0	19.82	
1	19.81	
2	19.79	
3	19.76	
4	19.76	
5	19.73	
6	19.73	
7	19.71	
8	19.69	
9	19.68	
10	19.66	
11	19.66	
12	19.66	
13	19.64	
14	19.63	
15	19.63	
16	19.63	
17	19.61	
18	19.61	
19	19.60	
20	19.60	
21	19.60	
22	19.60	
23	19.60	
24	19.60	
25	19.59	
26	19.56	
27	19.56	
28	19.56	
29	19.56	
30	19.58	
31	19.60	
32	19.60	
33	19.62	
34	19.64	
35	19.65	
36	19.64	
37	19.63	
38	19.61	
39	19.60	
40	19.60	
41	19.59	
42	19.60	
43	19.57	
44	19.56	
45	19.55	
46	19.54	
47	19.52	
48	19.50	
49	19.50	
50	19.49	
51	19.50	
52	19.50	
53	19.50	
54	19.50	
55	19.49	
56	19.49	
57	19.48	
58	19.47	
59	19.47	
60	19.47	
61	19.46	
62	19.44	
63	19.43	
64	19.43	
65	19.42	
66	19.41	
67	19.41	
68	19.41	
69	19.41	
70	19.41	
71	19.41	
72	19.41	
73	19.41	
74	19.41	
75	19.41	
76	19.42	
77	19.40	
78	19.41	
79	19.40	
80	19.40	
81	19.41	
82	19.40	
83	19.40	
84	19.39	
85	19.39	
86	19.39	
87	19.41	
88	19.40	
89	19.41	
90	19.41	
91	19.42	
92	19.41	
93	19.41	
94	19.41	
95	19.41	
96	19.40	
97	19.40	
98	19.40	
99	19.39	
100	19.38	
101	19.38	
102	19.37	
103	19.37	
104	19.37	
105	19.36	
106	19.36	
107	19.36	
108	19.36	
109	19.34	
110	19.34	
111	19.33	
112	19.34	
113	19.34	
114	19.36	
115	19.34	
116	19.34	
117	19.34	
118	19.33	
119	19.33	
120	19.33	
121	19.33	
122	19.33	
123	19.33	
124	19.33	
125	19.33	
126	19.33	
127	19.34	
128	19.34	
129	19.35	
130	19.35	
131	19.36	
132	19.38	
133	19.38	
134	19.40	
135	19.40	
136	19.40	
137	19.41	
138	19.41	
139	19.42	
140	19.43	
141	19.44	
142	19.45	
143	19.45	
144	19.45	
145	19.44	
146	19.44	
147	19.44	
148	19.46	
149	19.46	
150	19.46	
151	19.46	
152	19.46	
153	19.44	
154	19.44	
155	19.44	
156	19.43	
157	19.42	
158	19.41	
159	19.40	
160	19.40	
161	19.39	
162	19.40	
163	19.39	
164	19.40	
165	19.41	
166	19.40	
167	19.41	
168	19.41	
169	19.40	
170	19.40	
171	19.39	
172	19.39	
173	19.40	
174	19.40	
175	19.40	
176	19.39	
177	19.38	
178	19.37	
179	19.37	
180	19.37	
